key,value
"/developers/10betterpages-gmbh","10betterpages GmbH"
"/developers/115-com","115.com"
"/developers/2345-com","2345.com"
"/developers/8pecxstudios","8pecxstudios"
"/developers/a6-corp","A6 Corp"
"/developers/abonti-com","abonti.com"
"/developers/access","Access"
"/developers/adaptivebee-sasu","AdaptiveBee SASU"
"/developers/adbeat-com","adbeat.com"
"/developers/addthis-com","AddThis.com"
"/developers/adobe-systems-incorporated","Adobe Systems Incorporated"
"/developers/adscanner-tv","adscanner.tv"
"/developers/agilebits-inc","AgileBits, Inc."
"/developers/ahrefs-pte-ltd","Ahrefs Pte Ltd"
"/developers/airwatch-llc","AirWatch LLC"
"/developers/alexa-internet-inc","Alexa Internet, Inc"
"/developers/alexander-clauss","Alexander Clauss"
"/developers/aliaksandr-valialkin","Aliaksandr Valialkin"
"/developers/alibaba","Alibaba"
"/developers/aloha-mobile-ltd","Aloha Mobile Ltd"
"/developers/alphaseobot-com","alphaseobot.com"
"/developers/amazon-com-inc","Amazon.com, Inc."
"/developers/america-online-inc","America Online, Inc."
"/developers/anderson-che","Anderson Che"
"/developers/andrew-horton","Andrew Horton"
"/developers/aol","AOL"
"/developers/apple-inc","Apple Inc"
"/developers/apus-group","APUS-Group"
"/developers/archive-org","archive.org"
"/developers/archiveteam","ArchiveTeam"
"/developers/ask-com","Ask.com"
"/developers/atsushi-jike","Atsushi Jike"
"/developers/automattic","Automattic"
"/developers/avant-force","Avant Force"
"/developers/avast-software-s-r-o","AVAST Software s.r.o."
"/developers/avira-operations-gmbh-co-kg","Avira Operations GmbH & Co. KG."
"/developers/axandra-gmbh","Axandra GmbH"
"/developers/baidu","Baidu"
"/developers/beamrise-team","Beamrise Team"
"/developers/begun-ru","begun.ru"
"/developers/blackboard-inc","Blackboard Inc."
"/developers/blekko-inc","Blekko Inc."
"/developers/blizzard-entertainment-inc","Blizzard Entertainment Inc"
"/developers/bloglovin-com","bloglovin.com"
"/developers/bloop-s-r-l","Bloop S.R.L."
"/developers/blue-link-labs","Blue Link Labs"
"/developers/boardreader","BoardReader"
"/developers/brandverity","BrandVerity"
"/developers/bravo-unicorn-pte-ltd","BRAVO UNICORN PTE LTD"
"/developers/browsershots-org","browsershots.org"
"/developers/browzar-com","browzar.com"
"/developers/callpod-inc","Callpod Inc."
"/developers/cameron-kaiser","Cameron Kaiser"
"/developers/capture-heartrails-com","capture.heartrails.com"
"/developers/catchpoint-systems-inc","Catchpoint Systems, Inc."
"/developers/cent-studio","Cent Studio"
"/developers/checkmark-network","CheckMark Network"
"/developers/checksite-us","checksite.us"
"/developers/chedot-com","Chedot.com"
"/developers/cheetah-mobile","Cheetah Mobile"
"/developers/christian-dywan","Christian Dywan"
"/developers/christian-noon","Christian Noon"
"/developers/clickagy","Clickagy"
"/developers/cloud-system-networks","Cloud System Networks"
"/developers/cloudflare-inc","CloudFlare, Inc."
"/developers/cloudmosa-inc","CloudMosa Inc."
"/developers/coc-coc-company-limited","Coc Coc Company Limited"
"/developers/commoncrawl-foundation","CommonCrawl Foundation"
"/developers/comodo-group-inc","Comodo Group Inc"
"/developers/compuware-corporation","Compuware Corporation"
"/developers/comscore-inc","comScore, Inc."
"/developers/core-inc","Core Inc"
"/developers/corey-donohoe","Corey Donohoe"
"/developers/crazybrowser-com","CrazyBrowser.com"
"/developers/crazywebcrawler-com","crazywebcrawler.com"
"/developers/cstking","cstking"
"/developers/cxense-asa","Cxense ASA"
"/developers/dareboost","DareBoost"
"/developers/dassault-systemes","Dassault Systemes"
"/developers/datagnion-gmbh","Datagnion GmbH"
"/developers/datasift-com","datasift.com"
"/developers/daum-communications-corp","Daum Communications Corp"
"/developers/david-frank","David Frank"
"/developers/david-rosca-and-community","David Rosca and Community"
"/developers/deepnet-security","Deepnet Security"
"/developers/diigo-inc","Diigo, Inc."
"/developers/discord","Discord"
"/developers/docbase","DocBase"
"/developers/domainsigma","DomainSigma"
"/developers/domainsono","DomainSONO"
"/developers/domainstats-international-ab","Domainstats International AB"
"/developers/domaintools","DomainTools"
"/developers/dr-manfred-schauer","Dr. Manfred Schauer"
"/developers/duckduckgo","DuckDuckGo"
"/developers/easou-com","easou.com"
"/developers/easy-thumb-net","Easy-Thumb.net"
"/developers/echobox-limited","Echobox Limited"
"/developers/elbert-alias","Elbert Alias"
"/developers/elefent-eu","elefent.eu"
"/developers/element-software","Element Software"
"/developers/embed-ly","embed.ly"
"/developers/entireweb-sweden-ab","Entireweb Sweden AB"
"/developers/ericsson-research","Ericsson Research"
"/developers/eventure-capital-partners-ii-llc","eVenture Capital Partners II, LLC"
"/developers/evernote-corporation","Evernote Corporation"
"/developers/everyfeed-com","everyfeed.com"
"/developers/exensa","eXenSa"
"/developers/experian-ltd","Experian Ltd"
"/developers/fabien-coeurjoly","Fabien Coeurjoly"
"/developers/facebook","Facebook"
"/developers/fccn","FCCN"
"/developers/feedly-com","feedly.com"
"/developers/fenrir-inc","Fenrir Inc"
"/developers/flashpeak-inc","FlashPeak Inc"
"/developers/flipboard-inc","Flipboard, Inc."
"/developers/free-sas","FREE SAS"
"/developers/free-software-foundation-inc","Free Software Foundation, Inc."
"/developers/gadu-gadu-pl","gadu-gadu.pl"
"/developers/galaxys45312-gmail-com",""
"/developers/genieo","Genieo"
"/developers/geometry-ou","Geometry OU"
"/developers/geskimo-srl","GESKIMO SRL"
"/developers/getintent-com","getintent.com"
"/developers/gigablast-com","gigablast.com"
"/developers/github","Github"
"/developers/google-inc","Google Inc"
"/developers/gordon-lyon","Gordon Lyon"
"/developers/grammarly-inc","Grammarly Inc."
"/developers/grapeshot-limited","Grapeshot Limited"
"/developers/greg-lindahl","Greg Lindahl"
"/developers/grouphigh-llc","GroupHigh LLC"
"/developers/gtmetrix","GTmetrix"
"/developers/guangzhou-network","Guangzhou Network"
"/developers/handspring","Handspring"
"/developers/hans-hasselberg","Hans Hasselberg"
"/developers/hatena-co-ltd","Hatena Co., Ltd."
"/developers/headbanging-sasquatches","Headbanging Sasquatches"
"/developers/heartlass-inc","Heartlass, Inc."
"/developers/hiqpdf-software","HiQPdf Software"
"/developers/hj-van-rantwijk","HJ van Rantwijk"
"/developers/hp","HP"
"/developers/htc","HTC"
"/developers/http-law-di-unimi-it","http://law.di.unimi.it"
"/developers/huawei","Huawei"
"/developers/hubpages-inc","HubPages Inc."
"/developers/hubspot-inc","HubSpot, Inc."
"/developers/hytto-ltd","Hytto Ltd."
"/developers/ibm","IBM"
"/developers/ichiro","Ichiro"
"/developers/idee-inc","Idee Inc."
"/developers/ilegendsoft-inc","iLegendSoft, Inc."
"/developers/imagine-easy-solutions-llc","Imagine Easy Solutions, LLC"
"/developers/impact-tech-inc","Impact Tech, Inc"
"/developers/infegy-com","infegy.com"
"/developers/installatron-llc","Installatron LLC."
"/developers/integral-ad-science-inc","Integral Ad Science, Inc"
"/developers/intel-corporation","Intel Corporation"
"/developers/iridium-browser-team","Iridium Browser Team"
"/developers/itteco","Itteco"
"/developers/jaime-iniesta","Jaime Iniesta"
"/developers/james-hurst","James Hurst"
"/developers/jaohawi-ab","Jaohawi AB"
"/developers/jeanfrancois-arcand","Jeanfrancois Arcand"
"/developers/jobboerse-com","Jobboerse.com"
"/developers/jolla-ltd","Jolla Ltd."
"/developers/jonas-genannt-hggh","Jonas Genannt (HggH)"
"/developers/kakao-corp","Kakao Corp"
"/developers/kawe-apps","Kawe Apps"
"/developers/kaylon-technologies","Kaylon Technologies"
"/developers/kde-e-v","KDE e.V."
"/developers/keanu-lee","Keanu Lee"
"/developers/kerverus-it-ltd","Kerverus IT Ltd"
"/developers/kingsoft","Kingsoft"
"/developers/kinza-jp","kinza.jp"
"/developers/kitsuregawa-laboratory-the-university-of-tokyo","Kitsuregawa Laboratory, The University of Tokyo"
"/developers/kkbox-taiwan-co-ltd","KKBOX Taiwan Co., Ltd."
"/developers/kmeleonbrowser-org","kmeleonbrowser.org"
"/developers/komodia-inc","Komodia Inc"
"/developers/kuaiso-beijing-icp","Kuaiso Beijing ICP"
"/developers/laurent-jouanneau","Laurent Jouanneau"
"/developers/leiki-ltd","Leiki Ltd"
"/developers/let-s-encrypt","Let's Encrypt"
"/developers/letsearch-ru","LetSearch.ru"
"/developers/lg","LG"
"/developers/lightspeed-systems","Lightspeed Systems"
"/developers/linden-labs","Linden Labs"
"/developers/line-corporation","Line Corporation"
"/developers/linkdex-limited","Linkdex Limited"
"/developers/linkedin-corporation","LinkedIn Corporation"
"/developers/linkfluence-sas","Linkfluence SAS"
"/developers/linkis-com","Linkis.com"
"/developers/linkpad","LinkPad"
"/developers/linux-foundation","Linux Foundation"
"/developers/logicware-lsoft-technologies","LogicWare & LSoft Technologies"
"/developers/longurl-org","LongURL.org"
"/developers/ltx71-com","ltx71.com"
"/developers/lucas-ou-yang","Lucas Ou-Yang"
"/developers/lucidworks","Lucidworks"
"/developers/lunascape-corporation","Lunascape Corporation"
"/developers/mail-ru-group","Mail.Ru Group"
"/developers/majestic-12-ltd","Majestic-12 Ltd"
"/developers/makoto-kinoshita","Makoto Kinoshita"
"/developers/maple-studio","Maple Studio"
"/developers/marc-lehmann","Marc Lehmann"
"/developers/mark-miller","Mark Miller"
"/developers/marketscore","Marketscore"
"/developers/marketwire-l-p","Marketwire L.P."
"/developers/mason-larobina","Mason Larobina"
"/developers/maxthon-international-limited","Maxthon International Limited"
"/developers/maz-systems-inc","MAZ Systems Inc."
"/developers/mediatoolkit","Mediatoolkit"
"/developers/megaindex-ru","MegaIndex.ru"
"/developers/meizu-technology-co-ltd","Meizu Technology Co., Ltd."
"/developers/mesa-dynamics","Mesa Dynamics"
"/developers/metauri-com","metauri.com"
"/developers/michael-dowling","Michael Dowling"
"/developers/michael-schoebel","Michael Schoebel"
"/developers/microsoft-corporation","Microsoft Corporation"
"/developers/mikulas-patocka","Mikulas Patocka"
"/developers/mislav-marohnic","Mislav Marohnic"
"/developers/mixmax-inc","Mixmax, Inc."
"/developers/moat-inc","Moat, Inc."
"/developers/mobicip-com","Mobicip.com"
"/developers/mobileiron","MobileIron"
"/developers/mojeek-ltd","Mojeek Ltd."
"/developers/monitor-backlinks-ltd","Monitor Backlinks Ltd."
"/developers/moonchild-productions","Moonchild Productions"
"/developers/mopotab-inc","MopoTab Inc"
"/developers/moreover-technologies-inc","Moreover Technologies, Inc"
"/developers/motorola","Motorola"
"/developers/mozilla-foundation","Mozilla Foundation"
"/developers/myriad-group","Myriad Group"
"/developers/nagios-enterprises-llc","Nagios Enterprises, LLC."
"/developers/national-institute-of-information-and-communications-technology-japan","National Institute of Information and Communications Technology, Japan"
"/developers/national-library-of-sweden","National Library of Sweden"
"/developers/netcraft-ltd","Netcraft Ltd."
"/developers/netease-hangzhou-network-co-ltd","NetEase (Hangzhou) Network Co., Ltd."
"/developers/netestate-gmbh","netEstate GmbH"
"/developers/netscape","Netscape"
"/developers/netseer-inc","NetSeer, Inc."
"/developers/nettrack","NetTrack"
"/developers/news-me-inc","News.me Inc"
"/developers/nhn-corporation","NHN Corporation"
"/developers/nintendo","Nintendo"
"/developers/no-limit-software","No Limit Software"
"/developers/nokia","Nokia"
"/developers/notify-ninja","Notify Ninja"
"/developers/novell","Novell"
"/developers/ntent","NTENT"
"/developers/ntt-resonant-inc","NTT Resonant Inc."
"/developers/nuzzle-inc","Nuzzle Inc"
"/developers/obigo","Obigo"
"/developers/oculus","Oculus"
"/developers/omni-development-inc","Omni Development Inc"
"/developers/online-media-group-inc","Online Media Group, Inc."
"/developers/opera-software-asa","Opera Software ASA"
"/developers/oppo","OPPO"
"/developers/oracle","Oracle"
"/developers/orange-s-a","Orange S.A."
"/developers/oregan-networks-ltd","Oregan Networks Ltd"
"/developers/otter-browser-org","otter-browser.org"
"/developers/panasonic","Panasonic"
"/developers/paper-li","Paper.li"
"/developers/paul-hammond","Paul Hammond"
"/developers/paypal","Paypal"
"/developers/pdrlabs-net","pdrlabs.net"
"/developers/phantomjs-org","phantomjs.org"
"/developers/photonproject-net","photonproject.net"
"/developers/pingadmin-ru","PingAdmin.ru"
"/developers/pingdom-ab","Pingdom AB."
"/developers/pivotal-labs","Pivotal Labs"
"/developers/plantrob","PlantRob"
"/developers/poco-systems-inc","Poco Systems Inc."
"/developers/polychrome-ltd","Polychrome Ltd"
"/developers/postbox-inc","Postbox, Inc."
"/developers/postman-inc","Postman, Inc."
"/developers/poti-inc","POTI Inc"
"/developers/pr-cy-ru","pr-cy.ru"
"/developers/prlog-ru","prlog.ru"
"/developers/publiclibraryarchive-org","publiclibraryarchive.org"
"/developers/python-software-foundation","Python Software Foundation"
"/developers/qihoo-360-technology-co-ltd","Qihoo 360 Technology Co. Ltd."
"/developers/qualidator-com","Qualidator.com"
"/developers/quora-inc","Quora, Inc."
"/developers/qwant-sas","QWANT SAS"
"/developers/radical-software-ltd","Radical Software Ltd"
"/developers/rambler-ru","rambler.ru"
"/developers/rankflex-com","rankflex.com"
"/developers/raven-internet-marketing-tools","Raven Internet Marketing Tools"
"/developers/raynette","Raynette"
"/developers/read-it-later-inc","Read It Later, Inc"
"/developers/rebelmouse","RebelMouse"
"/developers/research-and-development-unit-for-english-studies-birmingham-city-university","Research and Development Unit for English Studies, Birmingham City University"
"/developers/research-in-motion-limited","Research In Motion Limited"
"/developers/richard-trautvetter","Richard Trautvetter"
"/developers/riddler-io","riddler.io"
"/developers/riser-apps-llc","Riser Apps LLC"
"/developers/ritlabs-srl","Ritlabs SRL."
"/developers/roku-inc","Roku, Inc."
"/developers/rostelecom","Rostelecom"
"/developers/rostpay-ltd","RostPay Ltd"
"/developers/ruanmei-com","RuanMei.com"
"/developers/ryan-parman-geoffrey-sneddon-ryan-mccue-and-contributors","Ryan Parman, Geoffrey Sneddon, Ryan McCue and contributors"
"/developers/ryte-gmbh","Ryte GmbH"
"/developers/safedns-inc","SafeDNS Inc"
"/developers/sakamoto-hironori","Sakamoto Hironori"
"/developers/salesforce-com-inc","Salesforce.com, Inc."
"/developers/samsung","Samsung"
"/developers/scrapinghub-limited","Scrapinghub Limited"
"/developers/scrapy-org","scrapy.org"
"/developers/searchturbo-ltd","Searchturbo Ltd"
"/developers/semantic-dimension","Semantic Dimension"
"/developers/semantic-visions-com","semantic-visions.com"
"/developers/semantissimo-de","semantissimo.de"
"/developers/semasio-com","semasio.com"
"/developers/semrush","SEMrush"
"/developers/seo-cube-s-r-l","SEO Cube S.r.l."
"/developers/seo-scanners","SEO Scanners"
"/developers/seo-site-checkup-llc","SEO Site Checkup LLC"
"/developers/seobility-gmbh","seobility GmbH"
"/developers/seodiver-com","seodiver.com"
"/developers/seomoz","SEOmoz"
"/developers/seomoz-inc","SEOmoz, Inc."
"/developers/seraphic-information-technology-shanghai-co-ltd","SERAPHIC Information Technology (Shanghai) Co., Ltd."
"/developers/serpstatbot-com","serpstatbot.com"
"/developers/seznam-cz-a-s","Seznam.cz, a.s."
"/developers/shilyaev-egor","Shilyaev Egor"
"/developers/shrinktheweb","ShrinkTheWeb"
"/developers/sien","Sien"
"/developers/similartech-ltd","SimilarTech Ltd."
"/developers/sina-corporation","Sina Corporation"
"/developers/sistrix-gmbh","SISTRIX GmbH"
"/developers/siteexplorer-info","siteexplorer.info"
"/developers/siteimprove-com","Siteimprove.com"
"/developers/slack-com","slack.com"
"/developers/snap-inc","Snap Inc."
"/developers/socialrank-io","Socialrank.io"
"/developers/software-in-the-public-interest-inc","Software in the Public Interest, Inc."
"/developers/sogou-inc","Sogou Inc"
"/developers/sohu-com-inc","Sohu.com Inc."
"/developers/sony","Sony"
"/developers/sonyericsson","SonyEricsson"
"/developers/soren-stoutner","Soren Stoutner"
"/developers/sparrow-sarl","Sparrow SARL"
"/developers/speedcurve","SpeedCurve"
"/developers/spotify-ab","Spotify AB"
"/developers/sprinklr-inc","SPRINKLR INC."
"/developers/spyonweb-com","spyonweb.com"
"/developers/square-inc","Square, Inc."
"/developers/srware","SRWare"
"/developers/stanley-lim","Stanley Lim"
"/developers/statuscake","StatusCake"
"/developers/stefan-burstroem","Stefan Burstroem"
"/developers/stefano-alimonti","Stefano Alimonti"
"/developers/stephan-schmitz","Stephan Schmitz"
"/developers/stumbleupon-inc","StumbleUpon, Inc."
"/developers/superbird-browser-com","superbird-browser.com"
"/developers/sur-ly","Sur.ly"
"/developers/syllable-project","Syllable Project"
"/developers/synacor-inc","Synacor, Inc."
"/developers/tapbots-llc","Tapbots, LLC"
"/developers/taringa-net","Taringa.net"
"/developers/tassaris","Tassaris"
"/developers/team-haxx","team Haxx"
"/developers/tencent-ltd","Tencent Ltd."
"/developers/tenta-llc","Tenta LLC"
"/developers/tesla-motors","Tesla Motors"
"/developers/the-apache-software-foundation","The Apache Software Foundation"
"/developers/the-british-legal-deposit-libraries","The British Legal Deposit Libraries"
"/developers/the-dillo-project","the Dillo Project"
"/developers/the-document-foundation","The Document Foundation"
"/developers/the-friendica-project","the friendica project"
"/developers/the-gnome-project","The GNOME Project"
"/developers/the-old-reader","The Old Reader"
"/developers/the-php-group","the PHP Group"
"/developers/the-rocket-science-group","The Rocket Science Group"
"/developers/theworld-cn","TheWorld.cn"
"/developers/thinglink-oy","ThingLink Oy"
"/developers/thomas-dickey","Thomas Dickey"
"/developers/thomas-schulte","Thomas Schulte"
"/developers/thumbnail-ws","thumbnail.ws"
"/developers/tiscali","Tiscali"
"/developers/tobit-software-ag","Tobit Software AG"
"/developers/todd-ditchendorf","Todd Ditchendorf"
"/developers/torsten-rueckert-internetdienstleistungen","Torsten Rueckert Internetdienstleistungen"
"/developers/toutiao","Toutiao"
"/developers/traackr-inc","Traackr Inc"
"/developers/tracemyfile-ltd","Tracemyfile Ltd."
"/developers/traffic-names-ltd","Traffic Names Ltd"
"/developers/trendiction-de","trendiction.de"
"/developers/tumblr-inc","Tumblr, Inc."
"/developers/turkcell","Turkcell"
"/developers/turnitin-llc","Turnitin LLC"
"/developers/twingly-ab","Twingly AB"
"/developers/twitter","Twitter"
"/developers/ubermetrics-technologies-com","ubermetrics-technologies.com"
"/developers/ucweb-inc","UCWeb Inc."
"/developers/unity-technologies","Unity Technologies"
"/developers/uptime-com","Uptime.com"
"/developers/valve-corporation","Valve Corporation"
"/developers/vebidoo-de","Vebidoo.de"
"/developers/verisign","Verisign"
"/developers/videolan-non-profit-organization","VideoLAN non-profit organization"
"/developers/viderem-ab","Viderem AB"
"/developers/visionmedia","visionmedia"
"/developers/vivaldi-technologies","Vivaldi Technologies"
"/developers/vivo-global","Vivo Global"
"/developers/vk-com","vk.com"
"/developers/vsi-innovation","VSI innovation"
"/developers/w3c","W3C"
"/developers/web-ceo-limited","Web CEO Limited"
"/developers/web-design-group","Web Design Group"
"/developers/webglance-com","webglance.com"
"/developers/webhose-io","Webhose.io"
"/developers/webmeup","WebMeUp"
"/developers/wesee-ltd","WeSEE Ltd"
"/developers/whitehat-security","WhiteHat Security"
"/developers/wise-guys-nl","wise-guys.nl"
"/developers/wkhtmltopdf-org","wkhtmltopdf.org"
"/developers/wmtips-com","wmtips.com"
"/developers/woorank-com","woorank.com"
"/developers/wordpress-org","wordpress.org"
"/developers/www-acoobrowser-com","www.acoobrowser.com"
"/developers/www-freewebmonitoring-com","www.freewebmonitoring.com"
"/developers/www-newsblur-com","www.newsblur.com"
"/developers/www-phpclasses-org","www.phpclasses.org"
"/developers/www-vbseo-com","www.vbseo.com"
"/developers/www-waterfoxproject-org","www.waterfoxproject.org"
"/developers/xavier-grangier","Xavier Grangier"
"/developers/xavier-roche","Xavier Roche"
"/developers/xiaomi-tech","Xiaomi Tech"
"/developers/xovi-gmbh","Xovi GmbH"
"/developers/yahoo-inc","Yahoo! Inc."
"/developers/yahoo-japan","Yahoo!JAPAN"
"/developers/yandex-llc","Yandex LLC"
"/developers/yisou-com","Yisou.com"
"/developers/yooz-ir","yooz.ir"
"/developers/zaojianzhen","ZaoJianZhen"
"/developers/zend-technologies-ltd","Zend Technologies Ltd."
"/developers/zoom-internet-co-ltd","Zoom Internet Co., Ltd"
"/developers/zuminternet-corp","ZUMinternet Corp"
"/developers/zvu-com","zvu.com"
